,id,title,description
0,0,52 Week High Low,"Definition: Prices of commodities, securities and stocks fluctuate frequently, recording highest and lowest figures at different points of time in the market. A figure recorded as the highest/lowest price of the security, bond or stock over the period of past 52 weeks is generally referred to as its 52-week high/ low.Description: It is an important parameter for investors (as they compare the current trading price of the stocks and bonds to the highest/lowest prices they have reached in the past 52 weeks) in making investment decisions. It also plays an important role in determination of the predicted future prices of the stock.Also See: Stock Price, Bond, Stock, Volatility"
1,0,Algorithm Trading,"Definition: Algorithm trading is a system of trading which facilitates transaction decision making in the financial markets using advanced mathematical tools.Description: In this type of a system, the need for a human trader's intervention is minimized and thus the decision making is very quick. This enables the system to take advantage of any profit making opportunities arising in the market much before a human trader can even spot them.	As the large institutional investors deal in a large amount of shares, they are the ones who make a large use of algorithmic trading. It is also popular by the terms of algo trading, black box trading, etc. and is highly technology-driven. It has become increasingly popular over the last few years.Also See: Automated Trading, High-Frequency Trading, Arbitrage"
2,0,Alpha,"Definition: Alpha is an estimated numeric value of a stock's expected excess return that cannot be attributed to the market's volatility, but may be due to some other security.Description: In other words, it is the difference between the investment return and the bench mark return (for e.g. NSE Nifty). It is one out of the five technical risk ratios which help the investor to determine the risk reward portfolio of the mutual fund.	Statistically, an alpha is generated by regressing a stock's excess return on benchmark (for example NSE Nifty) excess return. Alpha is an intercept. For example, if a stock has an alpha of 1.20, that means analysts expect 20% increase in the stock's price, not being affected by market fluctuations. Fundamental investors always want an alpha to be positive and beta to be zero.Also See: Beta, Alpha, Volatility, Alpha Shares"
3,0,American Option,"Definition: American options are derivatives contract with the option of redeeming the contract during the life of the option.Description: The unique feature of redeeming the contract before maturity or on the date of maturity gives it an added advantage of tradability. Due to this particular feature, it is the most widely traded option on trade exchanges. It is highly liquid in nature.	It is to be noted that the name of the option has nothing to do with the geographical locations and geographical names."
4,0,Arbitrage,"Definition: Arbitrage is the process of simultaneous buying and selling of an asset from different platforms, exchanges or locations to cash in on the price difference (usually small in percentage terms). While getting into an arbitrage trade, the quantity of the underlying asset bought and sold should be the same. Only the price difference is captured as the net pay-off from the trade. The pay-off should be large enough to cover the costs involved in executing the trades (i.e. transaction costs). Else, it won’t make sense for the trader to initiate the trade in the first place.Description: Suppose an asset, gold, is quoted at Rs 27,000 per 10 gm in the Delhi bullion market and at Rs 27,500 in the Mumbai bullion market. A trader may buy 10 gm of gold in Delhi and sell it in Mumbai, making a profit of Rs 500 (Rs 27,500 - Rs 27,000). However, this trade will be profitable only if the cost of transactions is less than Rs 500 per 10 gm of gold.In the above example, assuming that the total transaction cost, of executing the trades and physical delivery of gold, is Rs 200 for 10gm, then the net profit for the trader would reduce to Rs 300.If the price difference between the two bullion markets reduces to Rs 200 (or less than that) per 10gm of gold, then the arbitrage opportunity between the two markets shall cease to exist, as the transaction costs shall be equal to, or more than, the price difference between the two markets.In real life, arbitrage opportunities (if any) exist only for brief periods since most of the arbitrage trading has been taken over by algorithm-based trading in matured markets. These algorithms are quick to spot and capture arbitrage opportunity, making it easy for human traders to keep track.Watch the video here:"
5,0,Asset Allocation,"Definition: Asset allocation is an investment strategy by which an investor or a portfolio manager attempts to balance risk versus reward by adjusting the percentage of amount invested in an asset of a portfolio according to the risk tolerance of the investor, his/her goals and the investment time frame.Description: Financial assets vary in returns from each other depending on market conditions and user requirements. Almost all asset classes are not perfectly correlated with each other, so diversifying across multiple sectors tends to bring down the overall risk of a portfolio.Strategic Asset Allocation	This involves allocating fixed weights to various asset classes over the entire investment horizon. The return of the portfolio is then simply the weighted average return of various asset classes. For example, if you invest 60 per cent of your investments in stocks which have 15 per cent returns and 40 per cent in bonds which offer 5 per cent returns, then the mean return of the portfolio is 11 per cent.Tactical Asset Allocation	This strategy allows short term deviations from the ideal asset allocation to capitalize on market fluctuations or attractive investment opportunities that exist for a small period of time. The investor tends to remain moderately active and once the short term profits have been achieved the portfolio is rebalanced to the original mix.Dynamic Asset Allocation	This strategy is meant for active investors who monitor their portfolio on a regular basis. The investor tends to modify the allocation percentage of various assets depending upon the how the markets and the economy is fluctuating. User may shift the gains from a volatile asset to less risky assets when markets are correcting or may shift to riskier assets when the markets are booming."
6,0,Auction Market,"Definition: An auction market is the market where interested buyers and sellers enter ambitious bids and offers, respectively, at the same time. The price at which the security trade reflects the highest price the buyer is interested to pay and the lowest price at which the seller is interested to sell.	The trade is executed at the price where the bid and the offer price match. It is different from an over-the-counter (OTC) market where the trades are negotiated. Auction is also used in initial public offerings (IPOs). The type of auction used in IPOs is called Dutch auction. Auction is used in different stock exchanges around the world.Description: In simple terms, an auction market is the place where the highest price is defined by buyers and the lowest price is defined by sellers to place an order for a particular entity or service. The transaction is executed only if both the buyer and seller agree on the defined price or amount.	A standard example of an auction market is the New York Stock Exchange (NYSE). Auction markets vary from one counter to another and trades are also negotiable at that place. The New York Stock Exchange (NYSE) is one of the world’s leading auction markets.	For example, suppose 10 buyers want to buy a share of a company called ABC and make bids at Rs 10, Rs 20, Rs 30, Rs 40 till Rs 100.	On the other hand, there are 10 sellers who seek to sell the same shares at Rs 15, Rs 25, Rs 60, and Rs 120. Here, the transaction between the buyer and seller that made bids/offers for ABC company shares will be done at Rs 60. All other orders will not be made immediately and the minimum price of shares will then be Rs 60."
7,0,Basis Risk,"Definition: Basis Risk is a type of systematic risk that arises where perfect hedging is not possible. When there is a variation between hedge/futures/relative price and cash/spot price of the hedged underlying at any given point of time, that variation is called ‘Basis’ and risk associated with it is called Basis Risk.	Basis is simply the relationship between the cash price and future price of an underlying, and its variation happens when there is a difference in delivery location, quality and date/time. To mitigate the price risk of an acquired underlying trading in one market, a trader usually takes a counter or similar position in a relative or derivative market to give it a perfect hedge. But when there is imperfect hedging, basis risk arises. This happens mainly when proper matching or correlation testing of the underlying price and relative price or its properties is not done.	Basis = Spot price of hedged underlying – Hedged derivative (futures) price of the same underlying	Description: Basis Risk is the most important risk, which every hedger or trader considers while trading in the derivative market. It typically occurs when there is non-convergence of spot price and relative price on the offset date of trade due to an imperfect hedging strategy. When the offsetting properties are different, they add market risk to the trade, which is basically Basis Risk. And that non-convergence amount between cash price of the hedged underlying and price of the relative hedged underlying thus gives the numerical value for the basis risk, which can be negative or positive.	There are different types of Basis Risk in case of an imperfect hedging, which are listed below:	a)   Price Basis Risk: This occurs when there is a difference between spot price and relative future price or they do not move in tandem during the start and end of trade. Example, gold futures price is not changing as much gold spot price.	b)  Location Basis Risk: This happens typically in the commodities market, where the futures market delivery location (on which hedging is done) is different from that of the actual spot market (for which hedging is done). Example, crude oil futures price for Mumbai location is different from crude oil price for Singapore Spot.	c)    Calendar Basis Risk: In this case, the selling date of the spot market trade can be different from the expiry date of the futures market contract. For example, the date of selling HDFC Bank shares is 15 days prior to the expiry date of HDFC Bank futures contract on the NSE	d)  Product Quality Basis Risk: When the properties or qualities of the underlying asset are different from the relative underlying asset. Example, crude oil futures used to hedge ATF spot priceExample:	Support, the Tata Motors stock is trading at a spot price of Rs 355 while March futures are quoting at Rs 355.40. Now on the date of expiry, the stock falls to Rs 340 and futures to Rs 350. So, the basis weakened as it fell from -0.40 to -15, giving a profit of Rs 9.60 ((Rs 355-340)-(Rs 355.40-Rs 350)).	Had the stock price gone up to Rs 380 and the futures were at Rs 370; the basis would have strengthened from -0.40 to 10 but it would have led to a loss of -10.40 ((Rs 355-Rs 380)-(Rs 355.40-Rs 370)).	Further, Basis Risk is classified as strong basis or weak basis. As the basis varies during the course of the trade, at any point of time it strengthens when it gains in value and weakens when it loses value. Here are some of the cases which can explain this in detail.	I.     When the hedger is doing a short hedge, that would mean locking the price of the underlying which is sold but to be delivered in the future in order to avoid price fluctuation during that time.	·         Case 1 - Spot Price slides more than the futures price, in this case weak basis	 	Loss = ((Start date Cash Price – End date Cash Price) – (Hedge start price – Hedge end price))	 	·         Case 2 - Spot Price gains more than the Futures Price, again weak basis	 	Gain = ((Start date Cash Price – End date Cash Price) – (Hedge start price – Hedge end price))	 	·         Case 3 - Futures Price falls more than the Cash Price, case of strong basis 	 	Gain = ((Hedge start price – Hedge end price) – (Start date Cash Price – End date Cash Price))	 	·         Case 4 - Futures Price gains more than the Cash Price, case of weak basis	 	Loss = ((Hedge start price – Hedge end price) – (Start date Cash Price – End date Cash Price))	 	·         Case 5 - Futures Price gains or lose in tandem with the Spot Price, zero basis and no change	 	·         Case 6 - No change in spot price and futures price, zero basis and no change	II.  When the hedger does a long hedge, that means locking the price of the underlying which is bought but to be delivered in future, so as to avoid price fluctuation during that time.	·         Case 1 - Spot Price slides more than the Futures Price, in this case weak basis	 	Gain = ((Start date Cash Price – End date Cash Price) – (Hedge start price – Hedge end price))	 	·         Case 2 - Spot Price gains more than the Futures Price, case of strong basis	 	Loss = ((Start date Cash Price – End date Cash Price) – (Hedge start price – Hedge end price))	 	·         Case 3 - Futures Price falls more than the Cash Price, case of strong basis 	 	Loss = ((Hedge start price – Hedge end price) – (Start date Cash Price – End date Cash Price))	 	·         Case 4 - Futures Price gains more than the Cash Price, case of weak basis	 	Gain = ((Hedge start price – Hedge end price) – (Start date Cash Price – End date Cash Price)	 	·         Case 5 - Futures Price gains or lose in tandem with the Spot Price, zero basis and no change	 	·         Case 6 - No change in spot price and futures price, zero basis and no change	Over-the-counter (OTC) derivatives fit the requirements of a hedger, as they can be tailor-made as per the hedging strategy, thus minimising the basis risk.           Source: Bionic Turtle"
8,0,Bearish Trend,"Definition: 'Bearish Trend' in financial markets can be defined as a downward trend in the prices of an industry's stocks or the overall fall in broad market indices.Description: Bearish trend is characterized by heavy investor pessimism about the declining market prices scenario. A fall in the prices of about 20% is identified as a bearish trend.Also see: Bullish Trend, Squaring Off, Short Sell"
9,0,Bear Put Spread,"Definition: Traders use this strategy when they expect the price of an underlying to decline in the near future. This involves buying and selling Put options of the same expiry but different strike prices.	A higher strike price Put is bought and a lower priced one is sold. The higher priced Put is in-the-money (ITM) while a lower priced one is an out-of-the-money option. This strategy results in a net debit for the trader as the cost of the ITM Put gets adjusted with the cash flow from shorting the OTM Put.	The trader ends up making profit if the price of the underlying ends up lower than the strike price of the out-of-the-money Put. The profit arises from the higher intrinsic value of the high priced Put. The net profit thus equals the difference in strike prices minus the price paid to create the spread.	 	Profit = Strike price of long Put – strike price of short Put –chargesDescription:	This strategy also has a limited upside risk to it.	Case 1: Price rises above the ITM option	The loss equals the debit that occurred while creating the position. (Net difference in buying and selling the Put as both expire worthless)	Case 2: Price stays above the OTM option and less than the ITM option	There will be a loss in this case if the charges paid to create the position are more than the difference in the strike prices.	Suppose the stock of ABC was trading at Rs 100 in July. A trader bearish on ABC creates a bear Put spread. He/she buys a July 110 Put for Rs 300 and sells a July 95 for Rs 200. Thus, he/she has a net outflow of Rs 100 to create the position.	Now, if the price of ABC plummets to Rs 90 on expiry, it would make both the options in-the-money and the trader would make Rs 6,000 on the July 110 Put and lose Rs 1,000 on the July 95 put.	Deducting the initial amount of Rs 100 that went into creating the position, the profit for the trader will come to Rs 6,000-Rs 1,000-Rs 100=Rs 4,900.	 	If the price of ABC had gone to Rs 115 instead, both the options would have expired worthless, and the initial amount of Rs 100 would have been the net loss."
