,id,title,description
0,0,Abandonment Value,"Definition: Abandonment value is the equivalent cash value of a project if it is liquidated immediately after reducing all debts which need to be repaid.Description: Abandonment value is also known as liquidation value of an asset. The general rule for deciding to discontinue the product is that if the product’s salvage value is greater than the net present value (NPV) of its expected cash flows, the project is abandoned.	It is important for companies to know the profitability of a project and if it is not profitable it is better to discontinue the same. It is an important factor in bankruptcy filings where assets are generally sold at a discount.	Theoretically, the optimal economic life of an asset is 4 years, but the project’s expected cash flows may change over the life of the asset. The company should also estimate the future abandonment values in the initial investment phase. It would help the manager to effectively gauge the optimal economic life of an asset.For example:	A company’s cost of capital is 10%, and the initial investment cost to be incurred at the beginning of the project is Rs 3,50,000. Future cash flows expected in the next 4 years are 2,00,000, 1,50,000, 10,0000 and 50,000.	Now, if we calculate the net present value of each of the cash flows and subtract it with the initial investment value, it still comes out positive, which is Rs 65,067.	Considering the fact that NPV is still greater than zero, the company should continue with the project and not exercise the option."
1,0,Abnormal Rate Of Return,"Definition: Abnormal rate of return or ‘alpha’ is the return generated by a given stock or portfolio over a period of time which is higher than the return generated by its benchmark or the expected rate of return. It is a measure of performance on a risk-adjusted basis.Description: The abnormal rate of return on a security or a portfolio is different from the expected rate of return. It is the return generated by a security or a portfolio which is in excess of its benchmark or the return predicted by an equilibrium model such as capital asset pricing model (CAPM).	Abnormal rate of return can either be positive or negative depending on how the security or a fund has performed in comparison to its benchmark. The normal rate of return can be a forecasted return based on model or it can be the return on an index, such as S&P BSE Sensex or 50-share Nifty index.	The abnormal return on an investment is calculated as follows (1):	RAbnormal = RActual – RNormal	An investment's abnormal return could be positive or negative. It essentially measures how the stock or a fund has performed over a given period of time. Abnormal rate of return as a measure of performance is useful to investors as a valuation tool and for comparing returns to market performance (2).	Example:	Suppose a stock ABCD experiences a 30% return in a given year. Analysts expected ABCD to experience a return of 20% for that year. The (positive) abnormal rate of return ABCD is:	30% actual return – 30% projected return = 10% positive abnormal return	ABCD experience a positive abnormal return of 10% during that year."
2,0,Accounts Payable,"Definition: When a company purchases goods on credit which needs to be paid back in a short period of time, it is known as Accounts Payable. It is treated as a liability and comes under the head ‘current liabilities’. Accounts Payable is a short-term debt payment which needs to be paid to avoid default.Description: Accounts Payable is a liability due to a particular creditor when it order goods or services without paying in cash up front, which means that you bought goods on credit. Accounts Payable as a term is not limited to companies. Even individuals like you and me have Accounts Payable.	We consume electricity, telephone, broadband and cable TV network. The bills get generated towards the end of the month or a particular billing period. It means that the service provider gave you some service and sends the bill which needs to be paid by a certain date or else you will default. This becomes Accounts Payable.	Let’s also understand from a company’s point of view. You are a company A who purchases goods from company B on credit. The amount raised needs to be paid back in 30 days.	Company B will record the same sale as accounts receivable and company A will record the purchase as accounts payable. This is because company A has to pay company B.	Under the accounting (Accrual) methodology, this will be treated as a sale even though money has not exchanged hands yet. The accounts department needs to be extremely careful while processing transactions relating to Accounts Payable.	Here, time is the essence considering it is a short term debt which needs to be paid within a specific period of time. Along with that accuracy is the key, which involves the amount that needs to be paid along with the name of the supplier. Accuracy is important because it will impact the company’s cash position."
3,0,Accounts Receivable,"Definition: Accounts Receivable (AR) is the proceeds or payment which the company will receive from its customers who have purchased its goods & services on credit. Usually the credit period is short ranging from few days to months or in some cases maybe a year.Description: The word receivable refers to the payment not being realised. This means that the company must have extended a credit line to its customers. Usually, the company sells its goods and services both in cash as well as on credit.	When a company extends credit to the customer, the sale is realised when the invoice is generated, but the company extends a time period to the customers to pay the amount after some time. The time period could vary from 30-days to a few months.	Account Receivables (AR) are treated as current assets on the balance sheet. Let's understand AR with the help of an example. Suppose you are a manufacturer M/S XYZ Pvt Ltd and you manufacture tyres.	A customer gives you an order of Rs 1,00,000 for 100 tyres. Now, when the invoice is generated for that amount, sale is recorded, but to make the payment the company extends the credit period of 30-days to the customer.	Till that time the amount of Rs 1,00,000 becomes your account receivable because the customer will pay that amount before the period expires. If not, the company can charge a late fee or hand over the account to a collections department.	Once the payment is made, the cash segment in the balance sheet will increase by Rs 1,00,000, and the account receivable will be decreased by the same amount, because the customer has made the payment.	The amount of account receivable depends on the line of credit which the customer enjoys from the company. Usually, this is offered to customers who are frequent buyers."
4,0,Accrual Accounting,"Definition: When transactions are recorded in the books of accounts as they occur even if the payment for that particular product or service has not been received or made, it is known as accrual based accounting. This method is more appropriate in assessing the health of the organisation in financial terms.Description: To understand accrual accounting, let's first understand what we mean when we say the word 'accrual'. Accrual refers to an entry made in the books of accounts related to the recording of revenue or expense paid without any exchange of cash.	The use of accrual accounting is typically useful in businesses where there are a lot of credit transactions or the goods and services are sold on credit, which simply means that there was no exchange of cash.	Let's understand Accrual accounting with the help of an example. Suppose you are a firm M/S ABC Pvt Ltd, and you are using accrual accounting to maintain your books of accounts. Here, any revenue or income which is generated by sales and expenses incurred are recorded as they occur.	If you sell your goods or products on credit, the sale is recorded in the books based on the invoice generated. There is a possibility that you may not have received the payment by cash at that particular point in time.	An expense is occurred or recorded when the raw material is ordered and not when the actual payment is made to the supplier by either cash or cheque. The only drawback of this type of accounting system is that you, as a firm, might end up paying tax on revenues even when you might have not received it (credit).	Under the accrual method of accounting expenses are balanced with revenues on the income statement. It helps give a better picture of the company's financial condition."
5,0,Audit,"Definition: Audit is the examination or inspection of various books of accounts by an auditor followed by physical checking of inventory to make sure that all departments are following documented system of recording transactions. It is done to ascertain the accuracy of financial statements provided by the organisation.Description: Audit can be done internally by employees or heads of a particular department and externally by an outside firm or an independent auditor. The idea is to check and verify the accounts by an independent authority to ensure that all books of accounts are done in a fair manner and there is no misrepresentation or fraud that is being conducted.	All the public listed firms have to get their accounts audited by an independent auditor before they declare their results for any quarter.	Who can perform an audit? In India, chartered accountants from ICAI or The Institute of Chartered Accountants of India can do independent audits of any organisation. CPA or Certified Public Accountant conducts audits in USA.	There are four main steps in the auditing process. The first one is to define the auditor’s role and the terms of engagement which is usually in the form of a letter which is duly signed by the client.	The second step is to plan the audit which would include details of deadlines and the departments the auditor would cover. Is it a single department or whole organisation which the auditor would be covering. The audit could last a day or even a week depending upon the nature of the audit.	The next important step is compiling the information from the audit. When an auditor audits the accounts or inspects key financial statements of a company, the findings are usually put out in a report or compiled in a systematic manner.	The last and most important element of an audit is reporting the result. The results are documented in the auditor’s report."
6,0,Balance Sheet,"Definition: Balance Sheet is the financial statement of a company which includes assets, liabilities, equity capital, total debt, etc. at a point in time. Balance sheet includes assets on one side, and liabilities on the other. For the balance sheet to reflect the true picture, both heads (liabilities & assets) should tally (Assets = Liabilities + Equity).Description: Balance sheet is more like a snapshot of the financial position of a company at a specified time, usually calculated after every quarter, six months or one year. Balance Sheet has two main heads –assets and liabilities.	Let’s understand each one of them. What are assets? Assets are those resources or things which the company owns. They can be divided into current as well as non-current assets or long term assets.	Liabilities on are debts or obligations of a company. It is the amount that the company owes to its creditors. Liabilities can be divided into current liabilities and long term liabilities.	Another important head in the balance sheet is shareholder or owner’s equity. Assets are equal to total liabilities and owners’ equity. Owner’s equity is used when the company is a sole proprietorship and shareholders’ equity is used when the company is a corporation. It is also known as book value of the company.	Let’s understand reporting of a transaction on a balance sheet. If a company XYZ takes a five-year loan from public sector banks for an amount of Rs 5,00,000, it means that the bank will pay the money to XYZ Ltd.	The accounts department will increase the cash component by 5,00,000 on the assets front, and at the same time increase the long term debt account with the same amount, thus balancing both the sides.	If company raises Rs 10,00,000 from investors, then its assets will increase by that amount, as will its shareholder’s equity."
7,0,Balloon Payment,"Definition: Balloon payment is the lump sum payment which is attached to a loan, mortgage, or a commercial loan. This payment is usually made towards the end of the loan period. Balloon payment is higher than what you might be paying towards the loan on a monthly basis.Description: Balloon payment can be a part of both fixed as well flexible interest rate structure. By attaching a balloon payment to a loan, the borrower is able to cut down on the interest payment that is being made on a monthly basis by the borrower. This can only be possible because the entire loan is not amortised. 	The good part about balloon payment is that they have lower initial payments. They are ideal for companies or borrowers who might be facing cash crunch in the short term, but expect the liquidity to improve in the future.	If a loan has a balloon payment then the borrower will be able to save on the interest cost of the interest outflow every month. For example, person ABC takes a loan for 10 years. In this type of loan with no balloon payment, his/her entire loan will be amortised in small monthly payments till the time his/her entire loan is paid.	If there is balloon payment involved then, usually, the entire principal payment is paid in lump sum towards the end of the term. The sum total payment which is paid towards the end of the term is called the balloon payment.	Customers find it convenient to make a balloon payment, especially those who do seasonal jobs and expect strong cash flows before the loan term expires. However, if they are unable to make that payment then they might have to forgo the payment made in the past and return the product or look at refinancing by taking another loan."
8,0,Bankruptcy,"Definition: When an organisation is unable to honour its financial obligations or make payment to its creditors, it files for bankruptcy. A petition is filed in the court for the same where all the outstanding debts of the company are measured and paid out if not in full from the company’s assets.Description: Bankruptcy filing is a legal course undertaken by the company to free itself from debt obligations. Debts which are not paid to creditors in full are forgiven for the owners. Bankruptcy filing varies in different countries.	In India if you file for bankruptcy it will not go down well with your credit rating, which means that it may be tough for you to get a new loan if you plan to start afresh. However, it would save you from any financial trouble.	In the United States there are three main chapters which are followed – Chapter 7, 11, and 13. Let’s understand each of them in detail.	A person or an organisation files for Chapter 7 under the US bankruptcy law in which they liquidate their assets to repay their debt obligations. Filing Chapter 7 means that all collection efforts from all creditors should be stopped at once. 	Chapter 11 under the US bankruptcy law means that a company will attempt to restructure their debts in order to pay the financial obligations. This particular bankruptcy code is for companies only and not for individuals. Chapter 11 shows the intent of the company to pay off its debts which is a good sign. It gives them the chances to remain in business, but at the same time try and work out methods to pay off its debts.	Chapter 13 says that individuals will attempt to restructure their resources or cashflow to pay off debt. Individuals or self-employed persons can file for Chapter 13 but corporations and partnership firms cannot."
9,0,Bill Of Sale,"Definition: A document that signifies that a person or organisation has sold goods to another person or customer is called bill of sale. It is regarded as a legal document and can be used as a valid proof in all legal matters. It also signifies that the ownership of goods has been transferred to another party.Description: Bill of sale, in simple terms, means a document which can be used as a proof to signify a sale. Just like when you go for shopping in a big retail store and you buy clothes, the retailer give you a slip or a bill which will have details of all the clothes that you bought along with their price.	Let’s take it one level higher. A bill of sale is a sale document used for assets which are expensive such as automobiles. It is necessary that the party who is buying a car or any other asset should make sure that the bill of sale is complete and properly signed by both the parties.	It is used in a variety of transactions such as transfer of ownership of title of goods that people own, and for movable and tangible goods as well. It signifies two basic purposes –it confirms that the ownership of the property has been transferred to another person and serves as evidence in the court of law.	A bill of sale serves as a record of that particular sale to a customer. Let’s take an example, that you are selling your car to a prospective buyer. The most important document for you, as a seller, would be the bill of sale because it will have the information of the buyer, date when the car was sold, amount, etc. which confirms that you have sold the car to a particular person."
