,id,title,description
0,0,Asset Turnover Ratio,"Definition: Asset turnover ratio is the ratio between the value of a company’s sales or revenues and the value of its assets. It is an indicator of the efficiency with which a company is deploying its assets to produce the revenue. Thus, asset turnover ratio can be a determinant of a company’s performance. The higher the ratio, the better is the company’s performance. Asset turnover ratio can be different from company to company. Usually, it is calculated on an annual basis for a specific financial year.Description: Asset turnover ratio can be calculated by considering the average of the assets held by a company at the beginning of the year and at the end of a financial year and keeping the total number of assets as the denominator. The ratio can be higher for companies in certain sectors than others. For example, the retail sector yields the highest asset turnover ratio. According to a survey the retail sector scored an asset turnover ratio of 2.05 in 2014. Retail companies generally have small asset bases, but high sales volumes. The asset turnover ratio is a key constituent of DuPont analysis, a method the DuPont Corporation began using at some point in the 1920s. DuPont analysis basically breaks down return on equity into three parts, asset turnover, profit margin and financial leverage. The asset turnover ratio can be calculated by dividing the net sales value by the average of total assets.Asset turnover = Net sales value/average of total assetsGenerally, a low asset turnover ratio suggests problems with surplus production capacity, poor inventory management and bad tax collection methods. Low-margin industries always tend to have a higher asset turnover ratio."
1,0,Bailout,"Definition: Bailout is a general term for extending financial support to a company or a country facing a potential bankruptcy threat. It can take the form of loans, cash, bonds, or stock purchases. A bailout may or may not require reimbursement and is often accompanied by greater government oversee and regulations.	The reason for bailout is to support an industry that may be affecting millions of people internationally and could be on the verge of bankruptcy due to prolonged financial crises.Description: Bailout policies come in various forms, the most common being direct loans or guarantees of third-party (private) loans to the rescued entity. These direct loans are often on terms favouring the entity being rescued. Sometimes even direct subsidies are provided to the parties concerned. Stock purchases are also not uncommon.	The government or the financing body places strict requirements such as restructuring of organisation, no dividend payment to shareholders, change of management and in some cases a cap on salaries of executives till a stipulated time period or the repayment of dues. This may also be followed by a temporary relaxation of rules that may impact the accounts of the rescued entity.	Bailouts have several advantages. First, they ensure continued survival of the entity being rescued under difficult economic circumstances. Secondly, a complete collapse of the financial system can be avoided, when industries too big to fail start to crumble. The government in these cases steps in to avoid the insolvency of institutions that are needed for the smooth functioning of the overall markets.	Bailouts also have their disadvantages. Anticipated bailouts encourage a moral hazard by allowing not only promoters but also other stakeholders (customers, lenders, suppliers) to take higher-than-recommended risks in financial transactions. This happens because they start counting on a bailout when things go wrong."
2,0,Balance Of Payment,"Definition: According to the RBI, balance of payment is a statistical statement that shows1. The transaction in goods, services and income between an economy and the rest of the world,2. Changes of ownership and other changes in that economy’s monetary gold, special drawing rights (SDRs), and financial claims on and liabilities to the rest of the world, and3. Unrequited transfers.Description: The transactions in BOP are categorised ina) Current account showing export and import of visibles (also called merchandise) and invisibles (also called non-merchandise). Invisibles take into account services, transfers and income.b) Capital account showing a capital expenditure and income for a country. It gives a summary of the net flow of both private and public investment into an economy. External commercial borrowing (ECB), foreign direct investment, foreign portfolio investment, etc form a part of capital account.c) Errors and omissions: Sometimes the balance of payment does not balance. This imbalance is shown in the BOP as errors and omissions. BOP is compiled using the double entry book keeping system consisting assets and liabilities.Also See: Foreign Exchange Reserves, Base RateWatch the video here:"
3,0,Bank Rate,"Definition: Bank rate is the rate charged by the central bank for lending funds to commercial banks. Description: Bank rates influence lending rates of commercial banks. Higher bank rate will translate to higher lending rates by the banks. In order to curb liquidity, the central bank can resort to raising the bank rate and vice versa.Also See: Base Rate, Call Money Rate"
4,0,Basel Iii,"Definition: The third Basel accord or Basel-III is the cornerstone of banking supervision in the world. Framed by a committee of elite central bankers, the accord provides the guidelines for prudent supervision of banks all over the world and sets the standard for such supervision.Description: Basel-III is third in the series of accords following Basel-I and Basel-II. It was released in December, 2010, in Basel, Switzerland. The accord provides for regulatory benchmark on bank capital adequacy, market liquidity risk and stress testing.	The Basel norms for best practices in the banking industry globally are formulated by the Basel Committee on Banking Supervision (BCBS), which was formed by the Bank of International Settlements (BIS), based in Basel.	According to the committee, “Basel III is a comprehensive set of reform measures, developed by the BCBS, to strengthen the regulation, supervision and risk management of the banking sector.”	The accord was released after the catastrophic financial crisis of 2008, which almost pushed the financial system in the West to a virtual collapse. The accord was formed with three major objectives in mind: to enhance disclosure and transparency in the banking sector, improve the methods of risk management and governance within banks and in the overall financial system, and to increase the banking sector’s ability to absorb the effect of financial and economic stress.	Basel-III is built upon three solid pillars of: minimum regulatory capital requirement based on risk-weighted assets or RWAs, a supervisory review process, and proper market disclosure. Under the Basel-III accord, which is being implemented in India under the guidance of the Reserve Bank of India, Indian banks are required to raise Rs 6,00,000 crore of external capital by 2020 in order to meet the minimum capital adequacy limits.	The Basel Committee on Banking Supervision was formed by central bankers of 10 countries in 1974 to increase the understanding of various banking supervision issues and to enhance its quality."
5,0,Base Rate,"Definition: Base rate is the minimum rate set by the Reserve Bank of India below which banks are not allowed to lend to its customers. Description: Base rate is decided in order to enhance transparency in the credit market and ensure that banks pass on the lower cost of fund to their customers. Loan pricing will be done by adding base rate and a suitable spread depending on the credit risk premium.Also See: Foreign Exchange Reserves, Balance of Payment  "
6,0,Brexit,"Definition: It is an abbreviation for the term “British exit”, similar to “Grexit” that was used for many years to refer to the possibility of Greece leaving the Eurozone. Brexit refers to the possibility of Britain withdrawing from the European Union (EU). The country will hold a referendum on its EU membership on June 23.Description: Why the Call for Referendum?	When David Cameron became the prime minister of Britain in 2010 as head of a Conservative Liberal Democrat coalition, he had to withstand pressure about a Europe vote from the pro-exit UK Independence Party and from restive eurosceptics in his own party. Finally, in 2013 he promised an in-out referendum on EU membership if the Conservatives won the 2015 election. He secured an absolute majority in 2015 and hence the referendum.Who is Against Brexit?	1) David Cameron – PM, Britain	2) Mark Carney – Governor, Bank of England	3) George Osborne – Former Chancellor of the exchequer, Britain	4) John Major, Tony Blair and Gordon Brown – Former British PMs	5) Barack Obama – President of the United StatesWho is favouring Brexit:	1) Boris Johnson – London Mayor	2) Nigel Farage – UKIP leader, UK	3) George Galloway – Respect party leader, UK	4) Michael Gove – Justice Secretary, UK	5) Vladimir Putin – President of Russia"
7,0,Broad Money To Reserve Money,"Definition: It is a measure of money multiplier. Money multiplier shows the mechanism by which reserve money creates money supply in the economy. It is again dependent on two variables, namely currency deposit ratio and reserve deposit ratio.  Description: M3 is a measure of broad money and includes currency with the public and deposits. The Reserve Money factor shows the reserve money and includes required reserve and the excess reserves of the banking system. If the reserve requirement as stipulated by the RBI increases, the Reserve Money value will increase and the multiplier will fall. Similarly, if banks keep more money as excess reserves, it will have an adverse effect on the money multiplier.  Also See: Net National Income, Currency Deposit Ratio"
8,0,Call Money Rate,"Definition: Call money rate is the rate at which short term funds are borrowed and lent in the money market. Description: The duration of the call money loan is 1 day.  Banks resort to these type of loans to fill the asset liability mismatch, comply with the statutory CRR and SLR requirements and to meet the sudden demand of funds. RBI, banks, primary dealers etc are the participants of the call money market.  Demand and supply of liquidity affect the call money rate. A tight liquidity condition leads to a rise in call money rate and vice versa.Also See: Base Rate, Exchange Rate"
9,0,Capacity Cost,"Definition: An expenditure or cost incurred by a company in order to expand its business operations. In other words, these are expenses incurred by an organization to increase its capacity to conduct business operations.Description: Capacity costs are fixed in nature. They remain constant even when the level of output varies. This part of a company's expenditure is intended to help expansion and increase activities, or for establishment of premises from where the business operations can be conducted. This expense remains fixed irrespective of the level of business activity.	For any business, it is difficult to avoid costs like insurance, rent payments, property taxes, depreciation on equipment, etc. These are examples of capacity costs. These can be avoided or minimized only by shutting down the business or outsourcing the services.Also See: Fixed Costs, Variable Costs, Semi-Variable Costs, Sunk Costs, Overhead Costs"
