,id,title,description
0,0,5 Forces Analysis Of The Environment,"Definition: The five forces model of analysis was developed by Michael Porter to analyze the competitive environment in which a product or company works.Description: There are five forces that act on any product/ brand/ company:1. The threat of entry: competitors can enter from any industry, channel, function, form or marketing activity. How best can the company take care of the threat of new entrants?2. Supplier power: what is the power of suppliers in this industry? How will their actions affect costs, supplies and developments? If there are a few suppliers, power is in their favour and cost of switching may be prohibitive; vice versa for a situation with lots of suppliers. There may be too many buyers from too few suppliers.3. Buyer power: there may be few buyers for the product, which could mean that they would drive down prices and dictate business terms. What is their effect on the business? If there are many buyers, sellers could decide not to supply to a few, because other buyers will step in.4. Threat of substitutes: can another substitute the product? Tea for coffee; email for fax? What is the likely possibility of this and what is its impact?5. Competitive rivalry: all the four forces may come together to produce this force. All the resources at a company's disposal may be put in to maintain market shares and sales. How intense is competitive action, can it be countered?"
1,0,Advertising,"Definition: Advertising is a means of communication with the users of a product or service. Advertisements are messages paid for by those who send them and are intended to inform or influence people who receive them, as defined by the Advertising Association of the UK.Description: Advertising is always present, though people may not be aware of it. In today's world, advertising uses every possible media to get its message through. It does this via television, print (newspapers, magazines, journals etc), radio, press, internet, direct selling, hoardings, mailers, contests, sponsorships, posters, clothes, events, colours, sounds, visuals and even people (endorsements).The advertising industry is made of companies that advertise, agencies that create the advertisements, media that carries the ads, and a host of people like copy editors, visualizers, brand managers, researchers, creative heads and designers who take it the last mile to the customer or receiver. A company that needs to advertise itself and/or its products hires an advertising agency. The company briefs the agency on the brand, its imagery, the ideals and values behind it, the target segments and so on. The agencies convert the ideas and concepts to create the visuals, text, layouts and themes to communicate with the user. After approval from the client, the ads go on air, as per the bookings done by the agency's media buying unit.What is advertising? Watch video..."
2,0,Advertorial,"Definition: An advertorial is a form of advertisement in a newspaper, magazine or a website which involves giving information about the product in the form of an article. Usually, a brand pays the publisher for such an article.Description: Advertorials are advertisements that appear in the media, be it magazines, newspapers or websites. Advertorials are paid content.	They are used by marketers to educate prospective consumers about the features of a product. It can be used to target a specific set of people by choosing the right medium to publish the advertorial.	For example, an advertorial in a business newspaper would involve educating a set of people who are more interested about economy, markets or financial products.	It is an effective medium for a company to connect with its consumers through a story, unlike a traditional print ad in a magazine, newspaper or on a website as a banner ad.	An advertorial is more detailed than an advertisement and thus helps consumers understand more about the product. Advertorials are usually written by an ad agency or the client itself. They then purchase the ad space on the website or in a newspaper or a magazine.	It is important to note that as a rule of most publications, the word ""advertisement"" is mostly printed in small letters at the top or bottom of your advertorial. Some newspapers or magazines chose to push these advertorials in special sections."
3,0,Ambient Advertising,"Definition: Ambient Advertising is about placing ads on unusual objects or in unusual places where you wouldn’t usually expect to have an advertisement.Description: Ambient advertising evolved as a concept because it has a lasting impact on the minds of consumers which makes it more effective. Ambient advertising is all about creativity, and how effectively the advertiser is able to communicate the message to the consumers.The term 'ambient' means placing the ad at unusual places or unconventional places were you wouldn't expect an advertisement. Ambient advertising can be done along with traditional means of advertisement or as a standalone form of communication.The idea behind ambient advertising is to surprise consumers with its placement. For example, advertising behind a car is not unusual, but using wiper as a part of adverting will look something different and will throw an element of surprise in the minds of consumers.Ambient advertising makes an impact because it is intelligently placed, has a wow factor to it, makes a direct impact on the mind of consumers, effective way of communicating the message across to target consumers etc.The first thing that will catch your eye when you are looking at an ambient advertisement would be its unusual location. The second characteristics of such an advertising is the fact that there is no repetition.Another thing which is important is the execution. How well the ad is being executed, or does it really creating an impact that was required for effective communication. Does it really have a wow factor? All these things are taken into consideration while designing an ambient advertising campaign."
4,0,Ambush Marketing,"Definition: Ambush marketing, a term first coined by marketing guru Jerry Welsh, has not really been rigorously defined. However, it broadly refers to a situation in which a company or product seeks to ride on the publicity value of a major event without having contributed to the financing of the event through sponsorship. It is typically targeted at major sporting events - like the Olympic Games or the world cups in various games - and is a strategy adopted by rivals of the official sponsors.Description: What forms does ambush marketing typically take? In its more crude forms, ambush marketing could involve unauthorised use of logos or designs associated with the event. More often, however, ambush marketing involves more subtle forms of confusing or misleading the public about who are actually sponsoring the event. "
5,0,Behavioural Segmentaion,"Definition: Behavioral segmentation is a more focused form of market segmentation that groups different consumers based on specific behavioral patterns they display when making buying a product.Description: Behavioral segmentation classifies organizations and individuals into different categories based on how they act or behave towards products. It involves classifying consumers or grouping them based on frequency with which they use or buy the company’s product.	Grouping patterns may include analyzing consumer behaviors based on certain factors such as spending habits, consumption, lifestyle, usage of the product, etc.	Behavioral segmentation enables the company to adapt their marketing approach to target groups, so that they can learn more about consumers' overall needs. By doing this, a company can strengthen its marketing message or brand recall in the target group.	Similarly, companies who use behavioral segmentation are also interested in the behavioral pattern of non-users to find out how they can persuade them to buy the product or service.	It is important to understand that consumer’s decisions are affected by his/her behavior, and that is exactly how the behavioral segments are targeted to understand more about the customer and their buying habits.	There are different types of segmentation based on loyalty, occasion, usage rates, readiness stage, usage and benefits sought. For example: When you are buying a toothbrush, what is important to you? Do you look at the price, the manufacturer, its ability to prevent tooth decay, or whiten the teeth? If you want the product to fight tooth decay, the marketer will structure the advertising message in such a way that it matches your need."
6,0,Blue Ocean Strategy,"Definition: 'Blue Ocean Strategy is referred to a market for a product where there is no competition or very less competition. This strategy revolves around searching for a business in which very few firms operate and where there is no pricing pressure.Description: Blue Ocean Strategy can be applied across sectors or businesses. It is not limited to just one business. But, let's first understand what is Blue Ocean and how it is different from Red Ocean strategy.	In today's environment most firms operate under intense competition and try to do everything to gain market share. When the product comes under pricing pressure there is always a possibility that a firm’s operations could well come under threat. This situation usually comes when the business is operating in a saturated market, also known as 'Red Ocean'.	When there is limited room to grow, businesses try and look for verticals or avenues of finding new business where they can enjoy uncontested market share or 'Blue Ocean'. A blue ocean exists when there is potential for higher profits, as there is now competition or irrelevant competition.	The strategy aims to capture new demand, and to make competition irrelevant by introducing a product with superior features. It helps the company in make huge profits as the product can be priced a little steep because of its unique features.	Let's understand Blue Ocean strategy with the help of an example. Apple ventured into digital music in 2003 with its product iTunes.	Apple users can download legal and high quality music at a reasonable price from iTunes making traditional sources of distribution of music irrelevant. Earlier compact disks or CDs were used as a traditional medium to distribute and listen to music.	Apple was successful in capturing the growing demand of music for users on the go. All the available Apple products have iTunes for users to download music."
7,0,Brands,"Definition: A brand is a name given to a product and/or service such that it takes on an identity by itself. Description: In today's marketplace teeming with thousands of products and services, all of which are being rapidly commoditized, a brand stands out from the clutter and attracts attention. 	A brand name can create and stand for loyalty, trust, faith, premium ness or mass-market appeal, depending on how the brand is marketed, advertised and promoted. 	A brand differentiates a product from similar other products and enables it to charge a higher premium, in return for a clear identity and greater faith in its function. A brand is also likely to survive longer than just an undifferentiated product. 		A brand is akin to a living being: it has an identity and personality, name, culture, vision, emotion and intelligence. All these are conferred by the owner of the brand and needs to be continuously looked at to keep the brand relevant to the target it intends to sell to."
8,0,Brand Tribe,"Definition: A brand tribe could be regarded as a group of people who collectively identify themselves with the product and share similar views and notions about the brand. They are not just consumers of the product, but play a major role in its promotion.Description: A product is successful when it becomes a cult. Companies are not just selling consumers their products nowadays, but an idea, a vision as how consumers of the particular brand will relate to it once he/she owns it. 	Creating a tribe or a cult is not possible for every product, but if the company is able to create one product out of their portfolio which can differentiate itself from the competition, it’ll do wonders for the company and the brand.	Brands which have tribal groups rely on certain factors such as loyalty towards the brand such as, trust, usage, and a sense of pride once they purchase the product. Customers tend to remain loyal to the brand year-on-year even if the product is costly as compared to others in the same segment.	Let's understand Brand Tribe with the help of an example. There are lot of brand tribes associated with products such as Apple, BMW, Harley Davidson, Audi, etc. Let's take a look at Mahindra's first sports utility vehicle or SUV, 'Scorpio'.	Scorpio was the first SUV launched by M&M, and it has been a huge success since it was launched. What made the car so special was the image created by the company: a rough and tough vehicle for all roads that gives you the luxury of a big car.	The pricing managed to give the competition a run for their money. It was tough, and at the same time economical and safe. Over a period of time, M&M was able to build a customer-base who would only drive Scorpio.	To support the tribe, the company organises various rally events where Scorpio owners can take part and experiment with their vehicles on a rough terrain. It gives them a sense of belonging which is very important for brand tribe to exist."
9,0,Brand Valuation,"Definition: Brand valuation is the process used to calculate the value of a brand or the amount of money another party is prepared to pay for it.Description: A brand comprises tangible as well as intangible elements relating to the company's style, culture, positioning, messages, promises and value proposition. Brand Valuation, subsequently, is an estimate of the financial value of a brand. There is no universally accepted method for determining brand value. But, each company uses a different model. There are three main types of brand valuation methods - a) the cost approach b) the market approach and c) the income approach. 	Generally, brands are valued higher if the owner has already obtained appropriate legal protection, such as registration. However, companies that choose to value their brands in their balance-sheet use a consistent methodology so that the brands can be analyzed and compared. Determining a value for a brand can be complicated. But, the true value of a brand is ascertainable only when a purchaser and a seller reach an agreement to sell a particular brand. Brand valuation helps companies to find a buyer when it wants to sell it, value the assets in the balance-sheet, and to provide information to investors. Brand valuation comes in handy as security for a loan and tax reasons. It is also a useful tool used in merger and acquisition (M&A) planning, joint venture negotiations, litigation support services, secured borrowing transactions, bankruptcy administration, etc."
